epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9014,1.77522,4.32669,1.19463,0.644,0.60269,0.65029,0.35633,1.40393,2.08651,1.10408,0.000664216,0.000664216,0.000664216
2,44.8936,1.45185,2.41574,1.08657,0.65917,0.71274,0.71118,0.41811,1.29659,1.42604,1.06937,0.00132265,0.00132265,0.00132265
3,65.8821,1.4772,1.8441,1.09814,0.67568,0.70441,0.70337,0.37751,1.38451,1.33128,1.11539,0.00197283,0.00197283,0.00197283
4,86.0775,1.39789,1.48483,1.07916,0.72322,0.78119,0.80148,0.50981,1.10894,1.06797,1.04938,0.00196287,0.00196287,0.00196287
5,106.168,1.34134,1.24755,1.05902,0.72148,0.77543,0.77498,0.47364,1.17596,1.13475,1.05484,0.0019505,0.0019505,0.0019505
6,128.156,1.26902,1.16571,1.02506,0.76164,0.73512,0.78825,0.51462,1.16614,1.01628,1.03147,0.00193813,0.00193813,0.00193813
7,152.106,1.2652,1.06987,1.02142,0.7783,0.7412,0.8285,0.56472,1.10185,1.00396,0.9986,0.00192575,0.00192575,0.00192575
8,176.18,1.26764,1.03102,1.01755,0.7622,0.75048,0.83191,0.52407,1.11882,0.94422,0.98318,0.00191338,0.00191338,0.00191338
9,200.735,1.20594,0.97543,0.9997,0.78054,0.76008,0.82715,0.53834,1.1169,0.95005,1.00222,0.001901,0.001901,0.001901
10,224.885,1.18579,0.9608,1.00505,0.80719,0.78311,0.86452,0.61148,0.95634,0.86776,0.97552,0.00188863,0.00188863,0.00188863
11,248.852,1.12681,0.92981,0.97013,0.87051,0.76131,0.88276,0.62048,1.04119,0.8505,0.99553,0.00187625,0.00187625,0.00187625
12,272.868,1.14227,0.91433,0.98221,0.74989,0.79846,0.84135,0.60584,0.9732,0.84867,0.9771,0.00186388,0.00186388,0.00186388
13,297.239,1.12333,0.87503,0.97125,0.82193,0.82342,0.89138,0.641,0.95939,0.76743,0.96239,0.0018515,0.0018515,0.0018515
14,321.163,1.09525,0.83355,0.96213,0.80698,0.81958,0.88258,0.61222,0.98916,0.79428,0.96676,0.00183912,0.00183912,0.00183912
15,341.819,1.12893,0.83499,0.96566,0.77103,0.82726,0.86786,0.57321,1.12809,0.84377,1.01322,0.00182675,0.00182675,0.00182675
16,362.159,1.07471,0.80503,0.95158,0.81932,0.80075,0.88172,0.62291,0.97098,0.76966,0.96276,0.00181438,0.00181438,0.00181438
17,382.519,1.08491,0.82533,0.96519,0.77574,0.80614,0.86658,0.63178,0.94475,0.79401,0.97544,0.001802,0.001802,0.001802
18,402.731,1.0884,0.84159,0.95988,0.79389,0.82064,0.87909,0.63661,0.93762,0.77234,0.95418,0.00178962,0.00178962,0.00178962
